revision;file;methodSignature
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_99a84a5_c865737/rev_99a84a5-c865737;/src/main/java/org/junit/experimental/interceptor/TestName;starting(FrameworkMethod);
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_b33b4b0_c3873cf/rev_b33b4b0-c3873cf;/src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest;descriptionAndRunNotificationsAreConsistent();
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_63f40a8_ab51452/rev_63f40a8-ab51452;/src/main/java/org/junit/runners/BlockJUnit4ClassRunner;rules(Object);protected List<MethodRule> rules(Object test) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f27f809_d97f30a/rev_f27f809-d97f30a;/src/test/java/redis/clients/jedis/tests/SharedJedisPipelineTest;pipeline();
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_cb1b19b_04f6038/rev_cb1b19b-04f6038;/src/test/java/redis/clients/jedis/tests/SharedJedisPipelineTest;pipelineResponse();
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;/src/main/java/redis/clients/jedis/Commands;zrevrangeWithScores(String,int,int);public void zrevrangeWithScores(final String key, final int start,	    final int end);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;/src/main/java/redis/clients/jedis/Client;zremrangeByRank(String,int,int);public void zremrangeByRank(final String key, final int start, final int end) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;/src/main/java/redis/clients/jedis/Jedis;zremrangeByRank(String,int,int);public Long zremrangeByRank(final String key, final int start, final int end) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;/src/main/java/redis/clients/jedis/ShardedJedis;zremrangeByRank(String,int,int);public Long zremrangeByRank(String key, int start, int end) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_457cccc_088f84b/rev_457cccc-088f84b;/src/main/java/redis/clients/jedis/BinaryClient;zremrangeByRank(byte[],int,int);public void zremrangeByRank(final byte[] key, final int start, final int end) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_88e662e_155aff0/rev_88e662e-155aff0;/src/main/java/redis/clients/jedis/BinaryClient;zrevrangeByScoreWithScores(byte[],double,double,int,int);public void zrevrangeByScoreWithScores(final byte[] key, final double max,            final double min, final int offset, final int count) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_bbb8677_7e1a1a7/rev_bbb8677-7e1a1a7;/src/test/java/redis/clients/jedis/tests/JedisPoolTest;returnBinary();
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_c2cf79c_ac53759/rev_c2cf79c-ac53759;/src/main/java/redis/clients/jedis/Jedis;pfadd(String,String);public Long pfadd(final String key, final String... elements) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_c2cf79c_ac53759/rev_c2cf79c-ac53759;/src/main/java/redis/clients/jedis/BinaryClient;pfmerge(byte[],byte[]);public void pfmerge(final byte[] destkey, final byte[]... sourcekeys) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_167a782_81c8308/rev_167a782-81c8308;/src/main/java/redis/clients/jedis/JedisCluster;scriptExists(String);@Override    public Boolean scriptExists(final String sha1) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_360e25e_03c0af2/rev_360e25e-03c0af2;/src/main/java/redis/clients/jedis/Connection;getAll(int);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_26d1f4a_0aacd48/rev_26d1f4a-0aacd48;/src/main/java/redis/clients/jedis/ScanResult;getStringCursor();public String getStringCursor() {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_26d1f4a_0aacd48/rev_26d1f4a-0aacd48;/src/main/java/redis/clients/jedis/JedisCluster;zscan(String,int);@Deprecated    /**     * This method is deprecated due to bug (scan cursor should be unsigned long)     * And will be removed on next major release     * @see https://github.com/xetorthio/jedis/issues/531      */    @Override    public ScanResult<Tuple> zscan(final String key, final int cursor) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_19fc1f8_fc594db/rev_19fc1f8-fc594db;/src/main/java/redis/clients/jedis/JedisClusterConnectionHandler;setNodeIfNotExist(HostAndPort);private void setNodeIfNotExist(HostAndPort node) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_0f76459_53e7dc2/rev_0f76459-53e7dc2;/src/main/java/redis/clients/jedis/JedisCluster;zscan(String,int);@Deprecated    /**     * This method is deprecated due to bug (scan cursor should be unsigned long)     * And will be removed on next major release     * @see https://github.com/xetorthio/jedis/issues/531      */    @Override    public ScanResult<Tuple> zscan(final String key, final int cursor) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_3495402_3ebc25e/rev_3495402-3ebc25e;/src/main/java/redis/clients/jedis/TransactionBlock;setClient(Client);public void setClient(Client client) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_3495402_3ebc25e/rev_3495402-3ebc25e;/src/main/java/redis/clients/jedis/BinaryJedis;multi(TransactionBlock);@Deprecated    /**     * This method is deprecated due to its error prone     * and will be removed on next major release     * You can use multi() instead     * @see https://github.com/xetorthio/jedis/pull/498     */    public List<Object> multi(final TransactionBlock jedisTransaction) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f9fb884_076df8c/rev_f9fb884-076df8c;/src/main/java/redis/clients/jedis/BinaryJedis;multi(TransactionBlock);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_53e7dc2_d33bd40/rev_53e7dc2-d33bd40;/src/test/java/redis/clients/jedis/tests/JedisClusterTest;testThrowExceptionWithoutKey();
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_53e7dc2_d33bd40/rev_53e7dc2-d33bd40;/src/main/java/redis/clients/jedis/JedisCluster;waitReplicas(int,long);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_2510e34_d33bd40/rev_2510e34-d33bd40;/src/main/java/redis/clients/jedis/PipelineBase;evalsha(String,List<String>,List<String>);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_2510e34_d33bd40/rev_2510e34-d33bd40;/src/main/java/redis/clients/jedis/BinaryJedis;getParams(List<byte[]>,List<byte[]>);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_6e2706b_7196dc6/rev_6e2706b-7196dc6;/src/main/java/redis/clients/jedis/JedisCluster;set(String,String,String,String,long);
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_80d2827_d1842a2/rev_80d2827-d1842a2;/src/main/java/redis/clients/jedis/JedisCluster;waitReplicas(int,long);
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_ae1ffc9_6dd24ff/rev_ae1ffc9-6dd24ff;/src/test/java/org/junit/tests/running/classes/TestClassTest;methodToBeMatched();@Ignore    	@Test    	public String methodToBeMatched() {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_adeec7e_454f783/rev_adeec7e-454f783;/src/main/java/redis/clients/jedis/Client;set(String,String,String,String,long);@Override  public void set(final String key, final String value, final String nxxx, final String expx,      final long time) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_adeec7e_454f783/rev_adeec7e-454f783;/src/main/java/redis/clients/jedis/Jedis;set(String,String,String);@Override  public String set(final String key, final String value, final String nxxx) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_adeec7e_454f783/rev_adeec7e-454f783;/src/main/java/redis/clients/jedis/BinaryShardedJedis;set(byte[],byte[],byte[],byte[],long);@Override  public String set(byte[] key, byte[] value, byte[] nxxx, byte[] expx, long time) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_adeec7e_454f783/rev_adeec7e-454f783;/src/main/java/redis/clients/jedis/BinaryJedis;set(byte[],byte[],byte[],byte[],int);public String set(final byte[] key, final byte[] value, final byte[] nxxx, final byte[] expx,      final int time) {
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_9e95ce1_b540775/rev_9e95ce1-b540775;/src/main/java/redis/clients/jedis/Commands;exists(String);
